date,symbol,transaction_type,qty,entry_price,initial_sl,entry_time,exit_price,sl_hit,pnl,sl_hit_time,sl_type,cumulative_pnl,cum_max,drawdown
2024-03-27,DAILY_TOTAL,,900,701.4,841.68,,631.15,,10537.5,,Trailing,3276495.0,3282217.5,-5722.5
2024-03-28,DAILY_TOTAL,,900,534.25,641.1,,687.45,,-22980.0,,Trailing,3253515.0,3282217.5,-28702.5
2024-04-01,DAILY_TOTAL,,900,825.55,990.66,,744.65,,12135.0,,Trailing,3265650.0,3282217.5,-16567.5
2024-04-02,DAILY_TOTAL,,900,747.65,897.18,,657.15,,13575.0,,Trailing,3279225.0,3282217.5,-2992.5
2024-04-03,DAILY_TOTAL,,900,648.3,777.96,,589.0,,8895.0,,Trailing,3288120.0,3288120.0,0.0
2024-04-04,DAILY_TOTAL,,900,547.65,657.18,,676.5,,-19327.5,,Trailing,3268792.5,3288120.0,-19327.5
2024-04-05,DAILY_TOTAL,,900,958.95,1150.74,,844.95,,17100.0,,Trailing,3285892.5,3288120.0,-2227.5
2024-04-08,DAILY_TOTAL,,900,765.0,918.0,,764.45,,82.5,,Trailing,3285975.0,3288120.0,-2145.0
2024-04-09,DAILY_TOTAL,,900,635.05,762.06,,560.65,,11160.0,,Trailing,3297135.0,3297135.0,0.0
2024-04-10,DAILY_TOTAL,,900,536.6,643.92,,453.7,,12435.0,,Trailing,3309570.0,3309570.0,0.0
2024-04-12,DAILY_TOTAL,,900,901.9,1082.28,,869.25,,4897.5,,Trailing,3314467.5,3314467.5,0.0
2024-04-15,DAILY_TOTAL,,900,843.5,1012.2,,755.8,,13155.0,,Trailing,3327622.5,3327622.5,0.0
2024-04-16,DAILY_TOTAL,,900,782.05,938.46,,629.7,,22852.5,,Trailing,3350475.0,3350475.0,0.0
2024-04-18,DAILY_TOTAL,,900,560.8,672.96,,741.55,,-27112.5,,Trailing,3323362.5,3350475.0,-27112.5
2024-04-19,DAILY_TOTAL,,900,1053.65,1264.38,,1269.65,,-32400.0,,Trailing,3290962.5,3350475.0,-59512.5
2024-04-22,DAILY_TOTAL,,900,941.4,1129.68,,882.7,,8805.0,,Trailing,3299767.5,3350475.0,-50707.5
2024-04-23,DAILY_TOTAL,,900,791.5,949.8,,669.3,,18330.0,,Trailing,3318097.5,3350475.0,-32377.5
2024-04-24,DAILY_TOTAL,,900,622.3,746.76,,539.5,,12420.0,,Trailing,3330517.5,3350475.0,-19957.5
2024-04-25,DAILY_TOTAL,,900,545.1,654.12,,663.15,,-17707.5,,Trailing,3312810.0,3350475.0,-37665.0
2024-04-26,DAILY_TOTAL,,900,924.4,1109.28,,887.05,,5602.5,,Trailing,3318412.5,3350475.0,-32062.5
2024-04-29,DAILY_TOTAL,,900,822.65,987.18,,853.4,,-4612.5,,Trailing,3313800.0,3350475.0,-36675.0
2024-04-30,DAILY_TOTAL,,900,708.05,849.66,,619.4,,13297.5,,Trailing,3327097.5,3350475.0,-23377.5
2024-05-02,DAILY_TOTAL,,900,584.5,701.4,,401.15,,27502.5,,Trailing,3354600.0,3354600.0,0.0
2024-05-03,DAILY_TOTAL,,900,894.9,1073.88,,1076.4,,-27225.0,,Trailing,3327375.0,3354600.0,-27225.0
2024-05-06,DAILY_TOTAL,,900,909.5,1091.4,,836.8,,10905.0,,Trailing,3338280.0,3354600.0,-16320.0
2024-05-07,DAILY_TOTAL,,900,833.25,999.9,,847.65,,-2160.0,,Trailing,3336120.0,3354600.0,-18480.0
2024-05-08,DAILY_TOTAL,,900,763.3,915.96,,653.65,,16447.5,,Trailing,3352567.5,3354600.0,-2032.5
